ID,Ranking,JP,EN,JP Furigana,Pronounciation,Sentence JP,Sentence EN,Sentence Romaji,Sentence pronounciation,Explanation,Image
JPN1K-1,1,する,to do,する,する,あした、わたしもするね。,I'll do it tomorrow too.,"Ashita, watashi mo suru ne.",あした、わたしもするね。,This is casual/plain. ね softens it and sounds friendly.,<img src='JPN1K-1.jpeg'>
JPN1K-2,2,いる,"to be (of animate objects), to exist",いる,いる,かれはここにいる。,He is here.,Kare wa koko ni iru.,かれはここにいる。,"Use iru for people and animals (living things). For objects or places, use aru.",<img src='JPN1K-2.jpeg'>
JPN1K-3,3,から,"from (e.g. time, place, numerical quantity), since",から,から,きのう から ねむい です。,I've been sleepy since yesterday.,Kinou kara nemui desu.,きのうからねむいです。,"から marks the starting point in time, like 'since'. Common in simple statements about duration.",<img src='JPN1K-3.jpeg'>
JPN1K-4,4,何,what,何[なに],なに,これは 何[なに]ですか。,What is this?,Kore wa nani desu ka.,これは何ですか。,Polite pattern: X wa 何ですか means “What is X?” Very common for asking about unknown items.,<img src='JPN1K-4.jpeg'>
JPN1K-5,5,ある,"to be (usu. of inanimate objects), to exist, to live",ある,ある,どこにある？,Where is it?,Doko ni aru?,どこにある？,"Casual. Use aru for things/places; for people/animals, use iru.",<img src='JPN1K-5.jpeg'>
JPN1K-6,6,私,"I, me",私[わたし],わたし,私[わたし]はここがすきです。,I like it here.,Watashi wa koko ga suki desu.,私はここがすきです。,"私 is a polite, gender‑neutral way to say I. Common in most situations.",<img src='JPN1K-6.jpeg'>
JPN1K-7,7,いい,"good, excellent, fine, nice, pleasant, agreeable",いい,いい,それはいいですね。,"That's good, isn't it?",Sore wa ii desu ne.,それはいいですね。,ね asks for the listener’s agreement and softens the tone. です makes it polite.,<img src='JPN1K-7.jpeg'>
JPN1K-8,8,そう,"so, really, seeming",そう,そう,そうですか、それはいいです。,"Oh, I see. That’s good.","So desu ka, sore wa ii desu.",そうですか、それはいいです。,そうですか is a polite reaction meaning “I see” or “Really?”. Often used when hearing new information.,<img src='JPN1K-8.jpeg'>
JPN1K-9,9,なる,"to become, to get, to grow, to be, to reach, to attain",なる,なる,もう 私[わたし]は 眠[ねむ]くなるね。,I’m getting sleepy already.,Mou watashi wa nemuku naru ne.,もう私は眠くなるね。,Adjective + く + なる means “to become ….” This is casual speech.,<img src='JPN1K-9.jpeg'>
JPN1K-10,10,じゃ,"then, well, so, well then",じゃ,じゃ,じゃ、 明日[あした]行[い]きましょうね。,"Well then, let's go tomorrow, okay?","Ja, ashita ikimashou ne.",じゃ、明日行きましょうね。,"じゃ is a casual way to shift the conversation, like 'well then'. ましょう makes a friendly suggestion.",<img src='JPN1K-10.jpeg'>
JPN1K-11,11,人,"man, person",人[ひと],ひと,この 人[ひと]はだれですか。,Who is this person?,Kono hito wa dare desu ka.,この人はだれですか。,人 (hito) is a neutral word for a person. This is a polite question with ですか.,<img src='JPN1K-11.jpeg'>
JPN1K-12,12,俺,"I, me",俺[おれ],おれ,俺[おれ]はここがすきです。,I like it here.,Ore wa koko ga suki desu.,俺はここがすきです。,"俺 is a casual, masculine way to say I. It can sound rough and is not polite.",<img src='JPN1K-12.jpeg'>
JPN1K-13,13,言う,"to say, to utter, to declare",言[い]う,いう,私[わたし]はそう 言[い]う。,I say so.,Watashi wa so iu.,私はそう言う。,"Casual/plain. Here, そう言う means “to say so.” Common in conversation.",<img src='JPN1K-13.jpeg'>
JPN1K-14,14,この,this (followed by noun that is close to the speaker),この,この,この 映画[えいが]はいいです。,This movie is good.,Kono eiga wa ii desu.,この映画はいいです。,この goes before a noun to mean 'this' near the speaker. This is a polite sentence.,<img src='JPN1K-14.jpeg'>
JPN1K-15,15,やる,"to do, to undertake, to perform, to play (a game), to study",やる,やる,あしたテニスをやる。,I'll play tennis tomorrow.,Ashita tenisu o yaru.,あしたテニスをやる。,"やる is casual plain form, similar to する. Use やります for polite speech.",<img src='JPN1K-15.jpeg'>
JPN1K-16,16,これ,"this (not followed by noun) (indicating an item near the speaker, the action of the speaker, or the current topic)",これ,これ,これ、いいですね。,"This is nice, isn’t it?","Kore, ii desu ne.",これ、いいですね。,Polite and friendly. ね asks for agreement or shared feeling.,<img src='JPN1K-16.jpeg'>
JPN1K-17,17,行く,"to go, to move (in a direction or towards a specific location)",行[い]く,いく,私[わたし]はあそこへ行く。,I’ll go over there.,Watashi wa asoko e iku.,私はあそこへ行く。,"Plain (casual) form, used with friends. Can mean future intention: “I’ll go.”",<img src='JPN1K-17.jpeg'>
JPN1K-18,18,分かる,"to understand, to comprehend, to grasp, to see, to get, to follow",分[わ]かる,わかる,これで 分[わ]かるよ。,This should make it clear.,Kore de wakaru yo.,これで分かるよ。,Casual. Yo adds reassurance or emphasis.,<img src='JPN1K-18.jpeg'>
JPN1K-19,19,君,"you, buddy, pal",君[きみ],きみ,君[きみ]はどこへ 行[い]く？,Where are you going?,Kimi wa doko e iku?,君はどこへ行く？,君 is very casual. Use it with close friends; it can sound rude to others.,<img src='JPN1K-19.jpeg'>
JPN1K-20,20,くれる,"to give, to let one have, to do for one, to be given",くれる,くれる,それ、 私[わたし]にくれるか。,Will you give that to me?,"Sore, watashi ni kureru ka.",それ、私にくれるか。,Casual request to a friend. More polite would be それをください.,<img src='JPN1K-20.jpeg'>
JPN1K-21,21,それ,"that (not followed by noun) (indicating something near the listener or the action of the listener), it",それ,それ,それはなんですか。,What is that?,Sore wa nan desu ka.,それはなんですか。,それ points to something near the listener or just mentioned. This is a polite way to ask what it is.,<img src='JPN1K-21.jpeg'>
JPN1K-22,22,でも,"but, however, though, nevertheless, still, yet, even so",でも,でも,でも 私[わたし]は 行[い]きます。,But I will go.,Demo watashi wa ikimasu.,でも私は行きます。,でも often starts a sentence to show contrast with what was said. Polite form with -masu.,<img src='JPN1K-22.jpeg'>
JPN1K-23,23,どう,"how, in what way, how about",どう,どう,この 映画[えいが]はどうですか。,How is this movie?,Kono eiga wa dou desu ka.,この映画はどうですか。,どうですか is a polite way to ask for an opinion: “How is it?” or “What do you think?”,<img src='JPN1K-23.jpeg'>
